city_id,x,y,reward
1,245552.778,817827.778,82
2,247133.333,810905.556,15
3,247205.556,810188.889,4
4,249238.889,806280.556,95
5,250111.111,805152.778,36
6,254475.0,804794.444,32
7,254683.333,804777.778,29
8,254950.0,804294.444,18
9,255622.222,803825.0,95
10,255802.778,803469.444,14
11,255972.222,803808.333,87
12,256047.222,803538.889,95
13,256147.222,803108.333,70
14,256311.111,803691.667,12
15,256788.889,803175.0,76
16,256933.333,801630.556,55
17,257072.222,802936.111,5
18,257072.222,803258.333,4
19,257211.111,802686.111,12
20,257263.889,803555.556,28
21,257544.444,803275.0,30
22,257630.556,802963.889,65
23,257738.889,801938.889,78
24,257902.778,801302.778,4
25,258100.0,803025.0,72
26,258219.444,802897.222,26
27,258402.778,803266.667,92
28,258458.333,801541.667,84
29,258550.0,801933.333,90
30,258572.222,802783.333,70
31,258627.778,801930.556,54
32,258647.222,803247.222,29
33,258702.778,802991.667,58
34,258780.556,801258.333,76
35,258822.222,801808.333,36
36,258872.222,801313.889,1
37,258897.222,801869.444,98
38,258913.889,801272.222,21
39,259013.889,974972.222,90
40,259019.444,802505.556,55
41,259305.556,803286.111,44
42,259327.778,801627.778,36
43,259402.778,802458.333,20
44,259480.556,801508.333,28
45,259502.778,801230.556,98
46,259619.444,801769.444,44
47,259647.222,801225.0,14
48,259647.222,802416.667,12
49,259722.222,817291.667,49
50,259808.333,801486.111,13
51,259869.444,802325.0,46
52,259875.0,801750.0,45
53,260027.778,802241.667,78
54,260108.333,801497.222,34
55,260519.444,801441.667,6
56,260569.444,802719.444,94
57,260644.444,802322.222,59
58,260713.889,974761.111,69
59,260730.556,972083.333,16
60,260883.333,817263.889,49
61,260919.444,979569.444,11
62,261000.0,982627.778,71
63,261005.556,972900.0,38
64,261033.333,971644.444,81
65,261219.444,801436.111,80
66,261272.222,802333.333,47
67,261322.222,976308.333,74
68,261400.0,802136.111,25
69,261416.667,817950.0,91
70,261494.444,979133.333,9
71,261586.111,978236.111,6
72,261591.667,979905.556,85
73,261600.0,801391.667,30
74,261661.111,802086.111,99
75,261700.0,980516.667,38
76,261833.333,981227.778,11
77,261902.778,976958.333,30
78,261916.667,800966.667,13
79,261944.444,981833.333,49
80,262022.222,800941.667,36
81,262030.556,982297.222,59
82,262155.556,983250.0,82
83,262188.889,817919.444,47
84,262255.556,977577.778,21
85,262350.0,975816.667,48
86,262375.0,801250.0,46
87,262441.667,802066.667,27
88,262466.667,984811.111,86
89,262483.333,977336.111,35
90,262563.889,978247.222,90
91,262613.889,818094.444,88
92,262825.0,801072.222,83
93,262869.444,983130.556,10
94,262930.556,979927.778,78
95,262936.111,800791.667,82
96,262936.111,979602.778,22
